row_name,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
at home,-0.3972842546,-0.520546484,0.4871125715,1.026955789,-0.5849174254,-0.5115776922,-0.186571837,0.520566625,0.008201940799,0.4294040553
bar,0.2503953876,0.02340051199,-0.3668321825,-0.830142097,-0.7189590496,0.02388213157,-0.2693447492,0.8873581273,-0.217449471,0.3572905331
beer,-0.1769199681,-0.262344652,-0.1180119471,-0.7790116411,-0.1978854613,-0.6365135564,-0.4011198599,0.5283775319,0.3332508389,0.6399768818
celebrate,-0.9461685594,-0.4216795393,0.2754796781,0.1521494582,0.1403537137,0.7870080793,-0.07564378009,-0.5128047749,0.4886612291,-0.305661573
day,-0.662568711,-0.1324457439,0.3506096375,-0.04217909125,-0.1809201461,-0.03619566319,0.4495957976,0.05325359736,-0.2242629759,-0.01181704503
download,0.2005405717,0.63149721,-1.916833578,-0.6412835654,0.3227216484,-0.443746483,-0.7939392304,-1.529880975,-0.3290748365,-0.6076830606
fashion,-0.9853585642,0.3842106362,-0.6911164742,-2.061053151,-0.1736753173,-1.279133285,-1.217440402,0.2489052621,0.6167095389,-1.374124086
festival,-1.530544369,-0.5609756056,-0.321013613,-0.4165628002,0.1404338118,-0.8645873064,-1.368925882,-1.403789551,1.2949665,-1.943549273
food,-0.3082624261,-0.5278616781,-0.2084598179,-0.9644213204,-0.4477321956,-0.8814373632,-0.1968258524,1.275006941,0.419463591,0.3770918903
friends,-0.5336542738,-0.01886959769,0.4280987276,0.0515024145,-0.1570036242,-0.1805198051,0.02788948881,0.02011574435,-0.0249192173,-0.2032814937
game,0.3803530674,-0.1697425923,-0.8578889408,0.37823135,-1.309554348,-0.003519209373,-0.6721513021,0.2381519385,-0.6379217162,1.256826878
gamer,1.206046577,-0.6596460195,-0.9974593307,-1.063751917,-1.530492827,-2.283831667,0.002832694454,1.172594678,-0.2997961312,0.747764923
gaming,1.595822455,-0.3088167801,-0.1801290926,-0.3382292282,-1.200865795,-0.3737542595,-0.3813067416,0.2494587416,-0.5636864391,-0.1318859018
gourmet,-1.070547081,-0.05213753213,-0.3535831991,0,-0.5299417513,-1.283280591,-1.230208452,0.8922119084,0.1899293205,0.9861759465
holiday,-0.2001404345,-0.1098761172,-0.2659358921,-0.2662705106,0.2351043793,-0.02575797552,0.03958425678,0.8688006787,-0.1778867606,0.2769976435
night,-0.7236948948,0.1213192692,-0.2830484423,0.5021056659,0.3412191992,0.03691635638,0.1685694848,-0.2173644992,-0.4127253519,0.2758844789
party,-0.6288630863,0.4598236794,0.002655966038,-0.2436892172,-0.5746783978,-0.001948034893,-0.2334375046,-0.1854005933,-0.3390982265,-0.9257637713
restaurant,-0.5109312929,-0.7773848678,0.5859643949,1.077644211,1.23951196,-0.4213839315,-0.4127635543,0.672738086,-0.203355369,-0.02787895419
style,0.5735402297,0.3101986927,-0.761536399,-0.6866256755,-0.6770812868,-0.2870320089,-0.06795077135,-0.8643655395,-0.4453394972,0.2999747063
vinyl,0.1841701583,-0.2094230108,-1.743012359,-0.6512692362,-0.8207586226,-1.674180921,0.1165834666,0.1521273064,0.1190763477,1.056784622
weekend,-1.476556795,-0.3321465122,1.253990556,0.359900953,0.1349294101,-0.04063167985,-0.1441787475,-0.4613410812,-0.6292675479,-0.7361101419
work,0.03814902268,0.1510532765,-0.2895577606,-0.2470659579,-0.3097201196,-0.1444720154,-0.1475873633,0.7120131572,-0.1943259471,-0.079870667
working,0.1580866907,-0.04260251987,-0.1698030893,-0.2118310536,-0.2132883601,0.3672413637,-0.08799718659,0.7158021322,-0.1853704388,0.05006636918
youtube,1.820002564,-1.02900204,-1.369371137,-0.1958070815,0.4134774878,0.9231717083,-1.252453029,0.1457295634,-0.8139006535,0.3937153794
